"KHz","ID","Type","Active","LSB","USB","Sec","Fmt","'Name' and Location","SP","ITU","Region","GSQ","Lat","Lon","Pwr","Notes","Heard In","Logs","First Logged","Last Logged"
319,"#667","DGPS","Y","","","","","Ulung Do","","KOR","as","PM37fi","37.3542","126.458","","DGPS ; Ref ID: 734/735 ; 100 bps","KOR  TWN  FIN  CA","6","2008-08-06","2018-11-23"
319,"#936","DGPS","Y","","","","","Point Escuminac","NB","CAN","na","FN77ob","47.0625","-64.7917","","DGPS; Ref ID: 332/333; 200 bps","ENG  FIN  FRA  HOL  SCT  CA  IL  MD  ME  NC  NE  NH  NJ  NS  NV  NY  ON","169","2004-02-05","2023-08-16"
319,"ECV","NDB","Y","1021","1023","5.37","ID+3"" gap","Colmenar Viejo","","ESP","eu","IN80cq","40.6875","-3.7917","50","","CNR  BAL  BEL  CZE  DEU  DNK  ENG  ESP  FIN  FRA  GRC  HNG  HOL  HRV  IRL  ITA  NIR  POL  POR  RUS  SAR  SCT  SVK  SVN  SWE  NS","444","1999-10-08","2026-02-21"
320,"#907","DGPS","Y","404","","mond.","","Richmond","BC","CAN","na","CN89mc","49.1042","-122.958","","DGPS; Ref ID: 304/305; 200 bps","AB  AZ  BC  CA  IL  MD  MN  MO  NC  NE  NS  NV  OH  ON  OR  TX  UT  WA","107","2004-01-19","2022-11-16"
320,"3FXQ","NDB","Y","","1020","","","West Freedom","","XOS","iw","FK42xm","12.5208","-70.0417","","Drill Jack Up - MMSI: 353565000 
GSQ shown as of 12/01/2016","NS","1","2016-12-01","2016-12-01"
320,"9HUC8","NDB","Y","","396","10.76","","BOA SUB C","","XON","iw","EL58ve","28.1875","-88.2083","","MMSI 256426000 - MULTI PURPOSE OFFSHORE VESSEL
Location only for 1st Log","IL","1","2016-10-27","2016-10-27"
320,"9V2542","NDB","Y","400","400","12.46","","West Intrepid","","XON","iw","","","","","Drill ship
IMO: 8768842 
MMSI: 564304000","AZ  CO  FL  IL  MO  OH  TX","18","2014-12-26","2017-09-12"
320,"9VAK5","NDB","Y","401","400","9.5","","Petrorig-III","","XON","iw","","","","","Ship","AZ  CO  IL  MO  OH  TX","13","2015-10-28","2017-10-27"
320,"AI","NDB","Y","1022","1020","8.09","","Aitutaki","","CKS","oc","BH01ce","-18.8125","-159.792","","","NFK  NI  NW  NZL  PAQ  SA  TA  VI  AZ  BC  CA  CO  IL  OH  OR  TX  WA  HI","352","2009-04-12","2026-02-18"
320,"JPS","NDB","Y","1022","1019","7.77","ID+3"" gap","Joao Pessoa  (PB)","","BRA","sa","HI22mu","-7.1458","-34.9583","100","Presidente Castro Pinto Apt","CNR  ENG  ESP  FIN  FRA  POR  SCT  BRA  IL  NS  TX","75","2008-02-16","2025-01-12"
